index,improvements_sentiment,improvements_en_complete_gscore
0,1,0.110000001788139
1,1,-0.390000019073487
2,1,0
3,2,0
4,1,-1.18999997138977
5,1,0
6,0,-1.18999997138977
7,1,0
8,0,-0.960000052452088
9,1,0
10,1,0
11,0,-1.44000003099442
12,0,-1.44000003099442
13,0,-0.75
14,0,-1.44000003099442
15,1,-0.110000001788139
16,0,-1.44000003099442
17,0,-0.960000052452088
18,1,-1.44000003099442
19,1,-0.960000052452088
20,1,-0.75
21,0,0
22,1,0
23,1,0
24,0,-1.44000003099442
25,1,0
26,1,-1.44000003099442
27,1,-1.18999997138977
28,1,-0.960000052452088
29,0,-0.459999997317789
30,1,0.240000004172325
31,0,-0.240000004172325
32,1,0
33,1,-0.75
34,1,-0.110000001788139
35,1,0.110000001788139
36,2,0
37,0,-0.110000001788139
38,0,0
39,1,-0.110000001788139
40,1,-0.110000001788139
41,2,-0.75
42,1,-0.960000052452088
43,2,-0.110000001788139
44,0,-0.560000010728837
45,0,0.240000004172325
46,0,0
47,1,0
48,2,0
49,2,-1.18999997138977
50,0,0.560000010728837
51,0,-0.75
52,0,-1.18999997138977
53,1,-0.960000052452088
54,1,0
55,2,-0.240000004172325
56,0,-1.18999997138977
57,1,-1.18999997138977
58,0,0.560000010728837
59,0,0.110000001788139
60,2,0
61,1,-0.110000001788139
62,0,-0.110000001788139
63,2,0.960000052452088
64,1,0
65,0,-1.44000003099442
66,1,0.240000004172325
67,1,0.240000004172325
68,0,-1.44000003099442
69,2,-0.560000010728837
70,0,0.390000019073487
71,1,1.18999997138977
72,1,-0.110000001788139
73,0,-1.44000003099442
74,1,-0.110000001788139
75,2,-0.240000004172325
76,0,1.39999997615814
77,1,-0.110000001788139
78,0,-1.44000003099442
79,0,-0.75
80,1,0
81,0,-0.390000019073487
82,1,0.390000019073487
83,1,-0.390000019073487
84,1,-0.390000019073487
85,1,-0.110000001788139
86,1,-0.75
87,0,-0.75
88,1,-0.110000001788139
89,1,-0.110000001788139
90,0,-0.240000004172325
91,1,-0.240000004172325
92,1,-1.44000003099442
93,3,0
94,1,1.44000003099442
95,0,-2.58000007390976
96,1,-0.960000052452088
97,1,0
98,1,0.560000010728837
99,1,-0.390000019073487
100,0,0.110000001788139
101,1,1.05000001192093
102,0,0.240000004172325
103,1,-0.560000010728837
104,0,-1.44000003099442
105,0,-1.7099999332428
106,0,-0.110000001788139
107,1,-0.110000001788139
108,1,0
109,1,-0.110000001788139
110,0,-1.74999997019768
111,0,-1.44000003099442
112,1,-0.110000001788139
113,1,0
114,1,-0.390000019073487
115,1,-0.170000001341104
116,0,0
117,0,0.240000004172325
118,0,-1.18999997138977
119,0,0
120,0,0
121,0,0.110000001788139
122,1,0
123,0,-0.240000004172325
124,0,-0.110000001788139
125,3,0
126,0,-1.44000003099442
127,0,-1.18999997138977
128,0,0.110000001788139
129,0,-1.44000003099442
130,1,-0.240000004172325
131,1,0
132,0,-0.110000001788139
133,0,0
134,1,-1.44000003099442
135,0,-0.560000010728837
136,0,0.560000010728837
137,0,0.560000010728837
138,0,-0.560000010728837
139,1,-1.18999997138977
140,1,0
141,0,-0.390000019073487
142,1,0
143,0,-0.960000052452088
144,1,0
145,0,-0.240000004172325
146,1,-0.110000001788139
147,1,0.110000001788139
148,0,0
149,0,0
150,1,-0.110000001788139
151,0,-0.560000010728837
152,0,-0.390000019073487
153,1,-0.240000004172325
154,1,-0.960000052452088
155,1,0.110000001788139
156,0,-1.44000003099442
157,1,0
158,1,-0.110000001788139
159,1,-0.240000004172325
160,0,-1.05000001192093
161,1,-0.110000001788139
162,1,0
163,1,1.7099999332428
164,1,0
165,0,0.75
166,1,0
167,0,-1.18999997138977
168,0,0.130000003129244
169,0,-1.18999997138977
170,0,-1.44000003099442
171,1,-1.44000003099442
172,1,0
173,1,0
174,1,-1.44000003099442
175,1,-0.110000001788139
176,0,-0.560000010728837
177,0,-0.560000010728837
178,1,0.110000001788139
179,1,-0.390000019073487
180,1,0
181,1,-0.560000010728837
182,1,-0.75
183,0,1.44000003099442
184,1,-1.44000003099442
185,1,0.110000001788139
186,0,-1.44000003099442
187,1,-0.240000004172325
188,0,-1.18999997138977
189,0,0
190,1,-0.110000001788139
191,0,0
192,0,0.560000010728837
193,0,0.110000001788139
194,1,-1.44000003099442
195,1,0.390000019073487
196,0,-1.18999997138977
197,0,-1.18999997138977
198,1,1.44000003099442
199,0,-1.18999997138977
200,0,0.110000001788139
201,0,-1.18999997138977
202,1,-0.240000004172325
203,0,-0.960000052452088
204,1,-0.240000004172325
205,1,-0.390000019073487
206,0,-0.110000001788139
207,0,-1.18999997138977
208,0,-1.18999997138977
209,1,-1.18999997138977
210,1,0
211,0,-1.44000003099442
212,1,0
213,1,0
214,1,0.390000019073487
215,1,0
216,0,-0.960000052452088
217,1,0
218,0,0.75
219,1,-0.75
220,1,0
221,0,-2.0800000500679
222,1,-1.44000003099442
223,1,-0.560000010728837
224,1,0
225,1,-0.110000001788139
226,1,0.240000004172325
227,1,0.560000010728837
228,1,0
229,0,1.44000003099442
230,1,1.44000003099442
231,0,-0.390000019073487
232,1,0.110000001788139
233,0,-1.44000003099442
234,0,-0.390000019073487
235,1,0.960000052452088
236,0,-0.560000010728837
237,0,-1.18999997138977
238,1,0.560000010728837
239,1,0
240,0,-0.560000010728837
241,1,-0.75
242,1,-0.75
243,1,0
244,0,-1.44000003099442
245,0,-1.18999997138977
246,1,0
247,0,-0.75
248,0,-0.240000004172325
249,0,-1.18999997138977
250,1,-1.44000003099442
251,1,0
252,0,-0.110000001788139
253,1,0.560000010728837
254,1,0.560000010728837
255,1,0
256,0,-1.44000003099442
257,0,-0.75
258,1,0
259,0,-0.960000052452088
260,1,0.560000010728837
261,0,-1.44000003099442
262,1,-0.390000019073487
263,1,-0.960000052452088
264,0,-0.960000052452088
265,1,-1.44000003099442
266,1,0
267,0,-1.18999997138977
268,0,0
269,1,-1.44000003099442
270,0,-0.960000052452088
271,0,-0.110000001788139
272,0,-2.0800000500679
273,0,-0.110000001788139
274,0,-0.240000004172325
275,1,-1.18999997138977
276,0,0.240000004172325
277,1,0.240000004172325
278,1,0.110000001788139
279,0,0.75
280,1,0.560000010728837
281,0,-0.110000001788139
282,0,0
283,0,-0.560000010728837
284,0,-0.5100000166893
285,0,-1.18999997138977
286,1,-1.18999997138977
287,1,-0.240000004172325
288,0,-1.18999997138977
289,0,-0.560000010728837
290,1,-0.560000010728837
291,0,0.110000001788139
292,1,0.560000010728837
293,0,-0.960000052452088
294,1,-0.960000052452088
295,0,0.390000019073487
296,0,-0.240000004172325
297,1,0
298,0,-1.44000003099442
299,1,-1.18999997138977
300,1,0.560000010728837
301,1,-0.960000052452088
302,1,-0.960000052452088
303,0,0.110000001788139
304,1,0.560000010728837
305,0,-0.560000010728837
306,0,0.240000004172325
307,0,-0.560000010728837
308,0,-0.560000010728837
309,0,0.240000004172325
310,0,0
311,1,-0.960000052452088
312,0,-1.18999997138977
313,1,-0.240000004172325
314,0,0.560000010728837
315,0,-0.390000019073487
316,0,-1.18999997138977
317,1,-0.560000010728837
318,1,-0.240000004172325
319,1,0
320,0,1.18999997138977
321,0,0.75
322,0,0.75
323,0,-1.05000001192093
324,1,0.390000019073487
325,0,-1.18999997138977
326,0,-1.44000003099442
327,0,-0.560000010728837
328,0,-0.390000019073487
329,0,-0.960000052452088
330,0,-0.390000019073487
331,0,-0.110000001788139
332,1,0.560000010728837
333,0,0
334,1,0
335,0,0
336,0,-1.44000003099442
337,1,0.560000010728837
338,0,-0.960000052452088
339,0,1.44000003099442
340,0,0.110000001788139
341,1,-0.240000004172325
342,1,0.390000019073487
343,1,0
344,1,0
345,0,-0.960000052452088
346,1,-0.110000001788139
347,0,0.110000001788139
348,0,-0.110000001788139
349,1,-1.44000003099442
350,0,-1.18999997138977
351,1,0.75
352,1,-0.110000001788139
353,1,0
354,1,-1.18999997138977
355,0,-1.18999997138977
356,1,0
357,0,-1.18999997138977
358,1,0
359,0,-0.390000019073487
360,1,1.7099999332428
361,0,0.560000010728837
362,1,1.7099999332428
363,0,0.110000001788139
364,1,0.560000010728837
365,1,-1.44000003099442
366,0,-1.44000003099442
367,1,0
368,0,0.110000001788139
369,0,-1.7099999332428
370,1,0
371,1,-0.390000019073487
372,0,-0.960000052452088
373,0,-0.960000052452088
374,1,0.110000001788139
375,0,0
376,0,-0.560000010728837
377,1,0
378,1,-0.110000001788139
379,0,-0.390000019073487
380,1,-0.240000004172325
